Taxon,BMWP_CR
Aeshnidae,8
Asellidae,3
Athericidae,9
Baetidae,5
Belostomatidae,4
Bithyniidae,3
Blaberidae,8
Blephariceridae,9
Bythinellidae,3
Caenidae,4
Calamoceratidae,8
Calopterygidae,4
Ceratopogonidae,4
Chironomidae,2
Chrysomelidae,4
Coenagrionidae,4
Cordulegastridae,8
Corduliidae,8
Corixidae,4
Corydalidae,6
Crustacea,5
Culicidae,2
Curculionidae,4
Dixidae,4
Dolichopodidae,4
Dryopidae,5
Dytiscidae,4
Ecnomidae,9
Elmidae,5
Empididae,4
Ephydridae,2
Erpobdellidae,3
Euthyplociidae,6
Gammaridae,7
Glossiphonidae,3
Glossosomatidae,8
Gomphidae,7
Gyrinidae,4
Haliplidae,4
Helicopsychidae,5
Heptageniidae,9
Hidracarina,4
Hirudidae,3
Hirudinea,3
Hydraenidae,5
Hydrobiidae,3
Hydrobiosidae,9
Hydrophilidae,3
Hydropsychidae,5
Hydroptilidae,6
Isonychidae,6
Lampyridae,4
Lepidostomatidae,9
Leptoceridae,8
Leptohyphidae,5
Leptophlebiidae,8
Lestidae,7
Libellulidae,6
Limnephilidae,8
Limnichidae,5
Lutrochidae,7
Lymnaeidae,3
Megapodagrionidae,7
Muscidae,4
Naucoridae,4
Nepidae,4
Noteridae,4
Notonectidae,4
Odontoceridae,9
Oligochatea,1
Oligoneuriidae,5
Perilestidae,8
Perlidae,9
Philopotamidae,7
Physidae,3
Planorbidae,3
Platysticitidae,7
Pleidae,4
Polycentropodidae,6
Polymitarcyidae,5
Polythoridae,9
Protoneuridae,7
Psephenidae,7
Psychodidae,3
Ptilodactylidae,7
Pyralidae,5
Sciomyzidae,4
Scirtidae,4
Simulidae,4
Sphaeridae,3
Staphylinidae,4
Stratiomyidae,4
Syrphidae,1
Tabanidae,4
Talitridae,7
Tipulidae,4
Turbellaria,5
Valvatidae,3
Xiphocentronidae,6
